created,tag,front,back
2022-07-25,radiology,exudative,渗出液
2022-07-25,radiology,transudative,漏出液
2022-07-27,radiology,decubitus,卧位
2022-07-27,radiology,sternum,胸骨
2022-07-28,radiology,proximal,近端
2022-07-28,radiology,irritation,刺激
2022-07-28,radiology,cecum,盲肠
2022-07-29,radiology,contusion,挫伤
2022-07-29,radiology,laceration,裂伤
2022-07-30,radiology,subluxation,半脱位
2022-07-30,radiology,carpus,腕
2022-07-30,radiology,metacarpus,掌
2022-07-30,radiology,phalanges,指
2022-07-30,radiology,synovia,关节液、滑液
2022-07-30,radiology,meniscus,半月板
