类别,名称,食部 (%),蛋白质 (g),脂肪 (g),碳水化合物 (g),热量 (kcal),粗纤维 (g),钙 (g),磷 (g),铁 (g),胡萝卜素 (g),硫胺素 (g),核黄素 (g),尼克酸 (g),抗坏血酸 (g)
粮食类,籼稻米,100,7.8,1.3,76.6,349,0.4,9,203,2.4,0,0.19,0.06,1.6,0
粮食类,粳米,100,6.8,1.3,76.8,346,0.3,8,164,2.3,0,0.22,0.06,1.5,0
粮食类,特粳米,100,6.7,0.7,77.9,345,0.2,10,120,1.3,0,0.13,0.05,1,0
粮食类,标准粉,100,9.9,1.8,74.6,354,0.6,38,268,4.2,0,0.46,0.06,2.5,0
粮食类,富强粉,100,9.4,1.4,75,350,0.4,25,162,2.6,0,0.24,0.07,2,0
粮食类,小米,100,9.7,3.5,72.8,362,1.6,29,240,4.7,0.19,0.59,0.12,1.6,0
粮食类,高粱米,100,8.4,2.7,75.6,360,0.6,7,180,4.1,0.01,0.26,0.09,1.5,0
粮食类,玉米面,100,8.4,4.3,70.2,353,1.5,34,367,3.5,0.13,0.31,0.1,2,0
粮食类,莜麦面,100,15,8.5,64.8,396,2.1,58,398,9.6,0,0.29,0.17,0.8,0
粮食类,甜薯,87,1.8,0.2,29.5,127,0.5,18,20,0.4,1.31,0.12,0.04,0.5,30
粮食类,甜薯干,100,3.9,0.8,80.3,344,1.4,128,,,,0.28,0.12,0.8,
豆及豆制品,黄豆,100,36.5,18.4,35.3,412,4.8,367,571,11,0.4,0.79,0.25,2.1,0
豆及豆制品,绿豆,100,22.7,1.2,56.8,329,4.1,111,363,5.6,0.12,0.53,0.11,2,0
豆及豆制品,赤豆,100,21.7,0.8,60.7,339,4.6,76,389,4.5,,0.43,0.16,2.1,0
豆及豆制品,豇豆,100,22,2,55.5,328,4.1,100,456,7.6,0.05,0.35,0.11,2.4,0
豆及豆制品,蚕豆,100,29.4,1.8,47.5,324,2.1,93,225,6.2,,0.39,0.27,2.6,0
豆及豆制品,黄豆芽,100,11.5,2,7.1,92,1,68,103,1.8,0.03,0.17,0.11,0.8,4
豆及豆制品,绿豆芽,100,3.2,0.1,3.7,29,0.7,23,51,0.9,0.04,0.07,0.06,0.7,6
豆及豆制品,蚕豆芽,80,13,0.8,19.6,138,0.6,109,382,8.2,0.03,0.17,0.14,2,7
豆及豆制品,豆浆,100,4.4,1.8,1.5,40,0,25,45,2.5,,0.03,0.01,0.1,0
豆及豆制品,豆腐,100,7.4,3.5,2.7,72,0.1,277,87,2.1,,0.03,0.03,0.2,0
豆及豆制品,豆腐干,100,19.2,6.7,6.7,164,0.2,177,204,4.6,,0.05,0.05,0.1,0
豆及豆制品,油豆腐,100,39.6,37.7,11.8,545,0,191,574,9.4,,0.06,0.04,0.2,0
豆及豆制品,豆腐乳,100,14.6,5.7,5.8,133,0.6,167,200,12,,0.04,0.16,0.5,0
豆及豆制品,粉条,100,0.3,0,84.4,339,0,27,24,0.8,0,,,,0
豆及豆制品,粉皮,100,0.6,0.2,87.5,354,0.1,,,,,,,,0
鲜豆类,毛豆,42,13.6,5.7,7.1,134,2.1,100,219,6.4,0.28,0.33,6.1,1.7,25
鲜豆类,扁豆,93,2.8,0.2,5.4,35,1.4,116,63,1.5,0.32,0.05,0.07,0.7,13
鲜豆类,蚕豆,23,9,0.7,12.7,89,0.3,15,217,1.7,0.15,0.33,0.18,2.9,12
鲜豆类,四季豆,94,1.5,0.2,4.7,27,0.8,44,39,1.1,0.24,0.68,0.12,0.6,9
鲜豆类,豆角,95,2.4,0.2,4.7,30,1.4,5,63,1,0.89,0.09,0.08,1,19
根茎类,马铃薯,88,2.3,0.1,16.6,77,0.7,11,64,1.2,0.01,0.01,0.03,0.4,16
根茎类,芋头,70,2.2,0.1,19.5,80,0.6,19,51,0.6,0.02,0.06,0.03,0.07,4
根茎类,白萝卜,78,0.6,0,5.7,25,0.8,49,34,0.5,0.02,0.02,0.04,0.05,30
根茎类,小红萝卜,63,0.9,0.2,3.8,21,0.5,23,24,0.6,0.01,0.03,0.03,0.4,27
根茎类,青萝卜,94,1.1,0.1,6.6,32,0.6,58,27,0.4,0.32,0.02,0.03,0.3,31
根茎类,凉薯,91,1.4,0.2,11.9,55,0.9,29,28,1.6,0,0.03,0.02,0.5,2
根茎类,胡萝卜,89,0.1,0.3,7.6,35,0.7,32,30,0.6,3.62,0.02,0.05,0.3,13
根茎类,圆洋葱,79,1.8,0,8,39,1.1,40,50,1.8,,0.03,0.02,0.2,8
根茎类,大葱,71,1,0.3,6,31,0.5,12,46,0.6,1.2,0.08,0.05,0.5,14
根茎类,姜,100,1.4,0.7,8.5,46,1,20,45,7,0.18,0.01,0.04,0.4,4
根茎类,蒜头,29,4.4,0.2,23,111,0.7,5,44,0.4,0,0.24,0.03,0.9,3
根茎类,冬笋,39,4.1,0.1,5.7,40,0.8,22,56,0.1,0.08,0.08,0.08,0.6,1
根茎类,茭白,45,1.5,0.7,4,23,0.6,4,43,0.3,0.02,0.04,0.05,0.6,2
根茎类,藕,85,1,0.1,19.8,85,0.7,19,51,0.5,0.02,0.11,0.04,0.4,25
蔬菜类,大白菜,68,1.1,0.2,2.1,15,0.4,61,37,0.5,0.01,0.02,0.04,0.3,20
蔬菜类,鸡毛菜,100,2,0.4,1.3,17,0.6,75,55,5,1.3,0.02,0.08,0.6,46
蔬菜类,太古菜,81,2.7,0.1,3,24,0.8,160,51,4.4,2.63,0.08,0.15,0.6,58
